date,category,region,channel,sales_amount,units_sold,discount_pct,customer_rating,return_rate,marketing_spend,profit_margin,num_reviews,high_value
2023-01-01,Clothing,South,Mobile App,1039.74,79,0.249,3.9,0.077,463.86,0.069,131,0
2023-01-01,Home & Garden,West,Online,1233.51,8,0.166,4.0,0.131,67.47,0.372,96,1
2023-01-02,Clothing,North,Online,994.58,145,0.224,3.9,0.098,804.76,0.168,84,0
2023-01-02,Books,West,Online,1279.22,41,0.304,3.0,0.112,490.86,0.083,144,1
2023-01-03,Books,West,Mobile App,1063.09,87,0.251,4.2,0.086,314.22,0.423,422,0
2023-01-03,Electronics,South,Online,1257.96,85,0.075,4.8,0.137,945.91,0.204,215,1
2023-01-04,Books,Central,Online,1138.74,88,0.213,3.9,0.148,185.14,0.259,481,0
2023-01-04,Books,North,In-Store,1260.41,72,0.288,2.5,0.132,357.63,0.2,228,1
2023-01-05,Sports,North,In-Store,1003.78,69,0.254,4.7,0.173,347.51,0.159,349,0
2023-01-05,Sports,East,Online,1186.37,55,0.347,4.4,0.023,678.08,0.405,312,1
2023-01-06,Sports,North,Online,1009.39,87,0.18,4.2,0.106,857.06,0.21,389,0
2023-01-06,Home & Garden,North,In-Store,1245.77,137,0.182,4.1,0.16,669.62,0.111,129,1
2023-01-07,Electronics,East,Online,1160.05,101,0.087,3.9,0.158,134.54,0.289,80,1
2023-01-07,Books,West,Online,1279.24,47,0.329,3.4,0.025,288.53,0.111,351,1
2023-01-08,Clothing,South,Mobile App,1351.07,143,0.222,2.6,0.14,667.9,0.181,376,1
2023-01-08,Electronics,Central,Mobile App,1100.68,8,0.048,4.6,0.059,992.11,0.311,486,0
2023-01-09,Sports,Central,Online,1307.28,104,0.255,4.1,0.083,251.72,0.072,317,1
2023-01-09,Sports,South,Mobile App,1007.27,77,0.027,4.0,0.108,563.95,0.112,472,0
2023-01-10,Sports,South,Online,1398.36,42,0.211,3.5,0.103,165.91,0.123,471,1
2023-01-10,Sports,West,In-Store,1093.76,87,0.105,3.2,0.069,985.6,0.441,324,0
2023-01-11,Books,West,Mobile App,1160.29,60,0.185,4.8,0.181,716.31,0.436,136,1
2023-01-11,Home & Garden,South,Online,1018.77,43,0.018,3.0,0.083,942.05,0.268,68,0
2023-01-12,Books,Central,Online,1024.05,129,0.227,2.9,0.146,480.17,0.104,147,0
2023-01-12,Books,South,In-Store,1287.03,12,0.094,3.9,0.178,157.77,0.221,323,1
2023-01-13,Electronics,North,Online,1086.1,109,0.114,4.7,0.176,238.57,0.407,447,0
2023-01-13,Home & Garden,South,In-Store,1227.48,130,0.121,4.8,0.164,997.06,0.303,336,1
2023-01-14,Books,North,In-Store,919.07,17,0.33,4.3,0.024,206.64,0.08,15,0
2023-01-14,Electronics,West,Online,1383.58,7,0.116,3.1,0.102,224.28,0.34,272,1
2023-01-15,Books,South,Mobile App,1139.32,80,0.225,4.3,0.147,614.43,0.197,116,0
2023-01-15,Books,Central,In-Store,939.48,133,0.03,4.8,0.127,277.99,0.413,306,0
2023-01-16,Books,East,In-Store,1132.42,131,0.048,4.0,0.103,440.81,0.109,305,0
2023-01-16,Sports,North,In-Store,1037.8,148,0.091,4.0,0.116,724.63,0.449,104,0
2023-01-17,Home & Garden,North,In-Store,1007.02,21,0.292,3.7,0.024,309.3,0.33,164,0
2023-01-17,Clothing,East,Online,1147.27,109,0.367,4.3,0.174,170.07,0.133,367,1
2023-01-18,Sports,South,Mobile App,1020.96,3,0.288,3.0,0.081,76.45,0.175,93,0
2023-01-18,Clothing,North,In-Store,1118.39,58,0.24,2.6,0.042,374.35,0.358,487,0
2023-01-19,Home & Garden,West,Mobile App,1025.77,110,0.026,4.2,0.062,476.34,0.185,200,0
2023-01-19,Electronics,Central,In-Store,1144.49,27,0.161,4.2,0.194,641.6,0.304,167,0
2023-01-20,Home & Garden,West,Online,990.52,139,0.351,4.0,0.033,917.57,0.427,196,0
2023-01-20,Clothing,West,In-Store,1121.52,114,0.063,3.7,0.186,816.42,0.209,441,0
2023-01-21,Home & Garden,East,Mobile App,1190.01,107,0.353,4.4,0.148,849.91,0.053,202,1
2023-01-21,Books,East,Online,1225.8,143,0.351,5.0,0.049,229.92,0.262,425,1
2023-01-22,Home & Garden,Central,Mobile App,1201.08,40,0.33,3.3,0.056,508.58,0.259,340,1
2023-01-22,Home & Garden,South,Online,1095.47,135,0.132,3.1,0.054,54.78,0.343,184,0
2023-01-23,Electronics,Central,Online,1123.85,28,0.136,3.8,0.067,107.09,0.42,321,0
2023-01-23,Books,South,Mobile App,1319.64,129,0.289,4.7,0.026,788.58,0.419,148,1
2023-01-24,Books,Central,Mobile App,1241.42,8,0.109,2.7,0.171,689.2,0.375,401,1
2023-01-24,Books,Central,Online,1009.32,51,0.396,4.1,0.15,909.53,0.44,264,0
2023-01-25,Home & Garden,North,Online,1115.12,101,0.161,4.5,0.033,738.04,0.38,182,0
2023-01-25,Electronics,Central,Online,1084.53,5,0.25,4.1,0.114,665.14,0.383,362,0
2023-01-26,Clothing,East,Online,1141.66,5,0.213,3.9,0.197,309.39,0.171,99,0
2023-01-26,Books,East,Mobile App,1085.33,124,0.041,4.7,0.171,517.97,0.368,412,0
2023-01-27,Books,West,Online,1045.35,94,0.335,4.4,0.083,218.33,0.437,341,0
2023-01-27,Electronics,South,In-Store,1192.54,107,0.076,4.5,0.098,651.74,0.179,151,1
2023-01-28,Books,West,In-Store,1043.6,101,0.313,3.8,0.081,815.25,0.356,73,0
2023-01-28,Clothing,East,Mobile App,1172.04,96,0.114,3.0,0.151,329.55,0.301,319,1
2023-01-29,Sports,South,Online,1291.82,4,0.286,3.6,0.181,427.99,0.107,364,1
2023-01-29,Books,Central,Online,1098.41,8,0.172,4.3,0.174,159.06,0.422,213,0
2023-01-30,Books,West,In-Store,1235.81,110,0.237,5.0,0.121,815.68,0.313,400,1
2023-01-30,Sports,South,Mobile App,1127.52,64,0.107,4.0,0.136,944.46,0.32,277,0
2023-01-31,Home & Garden,North,In-Store,1107.03,138,0.316,4.7,0.082,795.0,0.173,161,0
2023-01-31,Clothing,South,In-Store,1100.12,19,0.358,3.1,0.115,612.42,0.307,273,0
2023-02-01,Electronics,Central,Mobile App,996.87,32,0.233,3.9,0.112,207.61,0.06,41,0
2023-02-01,Sports,West,Online,1307.57,38,0.229,4.6,0.151,489.27,0.198,438,1
2023-02-02,Clothing,West,In-Store,1162.44,111,0.264,3.3,0.041,871.71,0.27,156,1
2023-02-02,Clothing,Central,In-Store,1238.57,137,0.187,4.2,0.074,73.45,0.365,495,1
2023-02-03,Home & Garden,East,In-Store,1082.95,112,0.101,3.2,0.066,286.99,0.366,421,0
2023-02-03,Clothing,Central,Online,1117.5,12,0.136,4.3,0.157,394.62,0.411,211,0
2023-02-04,Sports,North,Mobile App,1222.16,139,0.376,3.0,0.051,569.36,0.157,100,1
2023-02-04,Books,West,In-Store,1237.32,81,0.088,5.0,0.109,731.26,0.177,250,1
2023-02-05,Home & Garden,Central,Mobile App,1077.7,136,0.195,3.8,0.115,863.33,0.282,365,0
2023-02-05,Electronics,West,Mobile App,992.13,46,0.033,4.1,0.188,847.83,0.375,44,0
2023-02-06,Electronics,Central,In-Store,1195.83,104,0.295,4.8,0.004,388.93,0.188,96,1
2023-02-06,Electronics,Central,Online,1068.36,119,0.372,4.5,0.179,171.11,0.083,81,0
2023-02-07,Home & Garden,East,In-Store,1026.01,73,0.21,2.9,0.189,769.59,0.376,17,0
2023-02-07,Electronics,North,Mobile App,1113.44,16,0.331,2.6,0.067,810.2,0.29,16,0
2023-02-08,Electronics,Central,In-Store,1080.08,49,0.013,4.1,0.139,330.32,0.237,326,0
2023-02-08,Electronics,West,Mobile App,1113.56,129,0.052,4.8,0.146,869.86,0.244,72,0
2023-02-09,Electronics,South,Online,1070.67,63,0.226,2.6,0.115,193.15,0.268,13,0
2023-02-09,Home & Garden,South,Online,1205.53,36,0.347,4.5,0.099,333.91,0.081,448,1
2023-02-10,Sports,North,Mobile App,1153.46,109,0.347,3.4,0.068,859.01,0.42,432,1
2023-02-10,Electronics,East,Online,1252.21,126,0.026,4.9,0.187,151.7,0.116,382,1
2023-02-11,Clothing,South,Mobile App,1210.08,68,0.382,3.3,0.088,468.06,0.074,96,1
2023-02-11,Books,East,Online,1015.27,119,0.229,2.5,0.198,991.88,0.399,156,0
2023-02-12,Sports,North,Mobile App,1190.24,78,0.01,4.3,0.196,743.23,0.25,0,1
2023-02-12,Clothing,North,Online,1086.42,21,0.363,2.7,0.005,740.5,0.364,222,0
2023-02-13,Books,South,Online,1178.43,105,0.278,3.8,0.102,943.21,0.093,215,1
2023-02-13,Electronics,North,In-Store,1104.67,13,0.377,4.8,0.051,795.53,0.159,131,0
2023-02-14,Home & Garden,North,Mobile App,1087.14,122,0.033,2.7,0.023,623.61,0.096,131,0
2023-02-14,Books,West,In-Store,1133.52,4,0.169,3.4,0.104,994.69,0.415,337,0
2023-02-15,Sports,North,Online,1150.62,119,0.364,4.2,0.153,869.98,0.426,259,1
2023-02-15,Books,South,Mobile App,1146.72,102,0.151,3.6,0.104,625.21,0.089,403,1
2023-02-16,Books,South,In-Store,1174.04,114,0.186,4.2,0.136,831.37,0.399,124,1
2023-02-16,Clothing,East,Mobile App,997.34,59,0.375,3.0,0.118,342.49,0.391,375,0
2023-02-17,Sports,Central,Online,962.21,128,0.27,4.0,0.15,845.65,0.181,375,0
2023-02-17,Books,East,In-Store,1298.02,10,0.055,4.8,0.155,214.68,0.231,81,1
2023-02-18,Home & Garden,Central,Mobile App,1184.88,27,0.046,4.0,0.125,633.76,0.072,46,1
2023-02-18,Electronics,Central,Mobile App,1243.38,149,0.136,3.7,0.19,511.53,0.444,282,1
2023-02-19,Home & Garden,North,Online,1107.08,69,0.017,3.4,0.12,602.14,0.318,106,0
2023-02-19,Clothing,Central,Online,1077.18,140,0.066,3.1,0.155,161.08,0.05,170,0
2023-02-20,Clothing,North,Online,1246.35,91,0.068,2.6,0.122,698.05,0.296,58,1
2023-02-20,Books,West,Online,1018.55,25,0.226,3.3,0.011,290.95,0.143,107,0
2023-02-21,Sports,North,Mobile App,1191.7,2,0.379,3.5,0.171,952.4,0.297,31,1
2023-02-21,Clothing,West,Mobile App,1200.57,131,0.372,4.7,0.075,768.52,0.147,264,1
2023-02-22,Clothing,East,Online,1170.32,118,0.178,3.3,0.135,180.23,0.233,160,1
2023-02-22,Home & Garden,Central,Online,1083.89,97,0.338,3.5,0.046,127.58,0.172,204,0
2023-02-23,Books,East,In-Store,1167.25,25,0.27,3.7,0.053,928.07,0.075,78,1
2023-02-23,Home & Garden,West,In-Store,1275.25,13,0.316,4.4,0.082,747.19,0.209,283,1
2023-02-24,Clothing,South,Mobile App,1310.51,95,0.256,3.4,0.177,650.63,0.232,105,1
2023-02-24,Sports,South,Mobile App,1076.68,148,0.056,3.2,0.111,359.53,0.121,154,0
2023-02-25,Sports,North,Mobile App,1304.13,144,0.271,4.9,0.044,604.42,0.216,104,1
2023-02-25,Home & Garden,East,In-Store,1234.64,126,0.102,4.5,0.04,171.39,0.052,270,1
2023-02-26,Books,South,Mobile App,1208.82,133,0.35,3.5,0.059,470.25,0.228,475,1
2023-02-26,Clothing,Central,Online,1163.96,32,0.053,4.9,0.143,420.61,0.342,438,1
2023-02-27,Home & Garden,East,Mobile App,1207.7,32,0.094,4.1,0.176,387.38,0.104,227,1
2023-02-27,Books,Central,Online,1047.2,9,0.073,3.8,0.047,90.35,0.084,484,0
2023-02-28,Electronics,South,Mobile App,1143.69,116,0.111,3.1,0.19,700.39,0.323,246,0
2023-02-28,Electronics,South,Online,1260.16,124,0.315,4.8,0.146,92.99,0.129,187,1
2023-03-01,Sports,East,Online,1312.79,11,0.388,4.4,0.139,257.01,0.122,69,1
2023-03-01,Sports,West,In-Store,1116.56,134,0.052,5.0,0.189,907.57,0.144,18,0
2023-03-02,Electronics,South,Online,1197.38,10,0.105,3.9,0.151,64.42,0.155,317,1
2023-03-02,Electronics,North,Online,1173.51,60,0.27,3.2,0.122,845.4,0.427,345,1
2023-03-03,Clothing,North,Mobile App,986.04,121,0.378,4.4,0.185,171.0,0.399,435,0
2023-03-03,Electronics,South,Online,1221.7,15,0.109,3.0,0.093,602.35,0.26,463,1
2023-03-04,Electronics,North,Online,1148.76,17,0.189,3.6,0.175,150.56,0.094,289,1
2023-03-04,Electronics,Central,Mobile App,1117.44,139,0.108,3.6,0.157,169.96,0.166,25,0
2023-03-05,Books,East,Mobile App,1142.15,146,0.394,3.9,0.041,879.37,0.397,86,0
2023-03-05,Electronics,West,Mobile App,1146.69,108,0.19,3.0,0.118,822.76,0.363,216,1
2023-03-06,Books,East,In-Store,1303.31,59,0.108,4.7,0.025,546.99,0.169,369,1
2023-03-06,Home & Garden,East,In-Store,920.89,108,0.254,4.5,0.001,928.04,0.371,153,0
2023-03-07,Books,West,In-Store,966.63,131,0.4,3.3,0.155,487.64,0.445,153,0
2023-03-07,Electronics,Central,In-Store,1347.14,78,0.163,3.7,0.057,714.71,0.115,361,1
2023-03-08,Sports,Central,Mobile App,1233.09,124,0.357,4.7,0.106,440.31,0.32,471,1
2023-03-08,Sports,North,Mobile App,897.98,76,0.042,4.7,0.14,524.02,0.289,173,0
2023-03-09,Home & Garden,North,Mobile App,1319.21,114,0.001,4.2,0.102,582.55,0.065,55,1
2023-03-09,Electronics,North,Online,1039.52,30,0.199,4.8,0.123,352.35,0.083,91,0
2023-03-10,Home & Garden,North,In-Store,1267.81,22,0.016,2.8,0.164,945.53,0.298,112,1
2023-03-10,Sports,West,Online,1118.56,21,0.154,4.6,0.152,899.55,0.309,432,0
2023-03-11,Clothing,West,In-Store,1187.1,32,0.242,5.0,0.081,128.6,0.329,12,1
2023-03-11,Electronics,West,In-Store,1181.55,34,0.346,2.6,0.103,662.66,0.3,337,1
2023-03-12,Sports,Central,In-Store,1267.32,113,0.363,3.8,0.097,291.24,0.136,439,1
2023-03-12,Clothing,North,Online,1067.62,41,0.19,4.5,0.141,323.84,0.305,479,0
2023-03-13,Electronics,East,In-Store,1192.44,51,0.044,3.5,0.187,333.84,0.173,180,1
2023-03-13,Books,South,In-Store,1361.03,120,0.096,3.5,0.003,790.99,0.067,17,1
2023-03-14,Home & Garden,Central,Mobile App,952.33,82,0.254,4.7,0.075,896.64,0.394,130,0
2023-03-14,Electronics,East,In-Store,1234.57,149,0.188,4.1,0.082,143.8,0.195,181,1
2023-03-15,Books,Central,In-Store,927.18,58,0.308,4.1,0.142,62.95,0.434,449,0
2023-03-15,Clothing,North,Online,1361.94,122,0.18,2.8,0.13,121.88,0.089,460,1
2023-03-16,Home & Garden,East,Mobile App,1026.4,32,0.189,4.1,0.003,393.46,0.097,112,0
